district,crime_type,defendant_race,n_cases,mean_sentence,median_sentence
3,Obscenity/Other Sex,Black,7,28.71857142857143,24.0
3,Obscenity/Other Sex,Hispanic,38,37.290263157894735,30.0
3,Obscenity/Other Sex,Unknown,10,29.302999999999997,26.0
3,Obscenity/Other Sex,White,27,39.11259259259259,30.0
3,Other,Black,4,148.75,105.5
3,Other,Hispanic,4,44.5325,28.5
3,Other,White,54,84.04240740740741,60.0
3,Robbery,Black,6,52.0,41.5
3,Robbery,Hispanic,6,69.0,79.5
3,Robbery,Unknown,5,53.605999999999995,70.0
3,Robbery,White,48,49.68270833333333,34.5
3,Sexual Abuse,Unknown,3,8.22,6.0
3,Sexual Abuse,White,3,11.0,12.0
3,Stalking/Harassing,Hispanic,1,24.0,24.0
3,Stalking/Harassing,White,5,32.406,12.03
3,Tax,Black,26,26.282307692307693,21.0
3,Tax,Hispanic,444,23.15301801801802,19.36
3,Tax,Unknown,24,8.348333333333333,7.279999999999999
3,Tax,White,40,17.12275,11.0
3,Unknown,Black,186,54.869032258064514,28.064999999999998
3,Unknown,Hispanic,619,48.42252019386107,24.0
3,Unknown,Unknown,78,38.77423076923077,18.0
3,Unknown,White,500,56.69974,30.0
4,Assault,Hispanic,5,58.226,60.0
4,Assault,Unknown,1,120.0,120.0
4,Assault,White,8,127.5,108.0
4,Bribery/Corruption,Black,1,12.03,12.03
4,Bribery/Corruption,White,3,21.7,12.03
4,Burglary/Trespass,Black,10,57.6,54.0
4,Burglary/Trespass,Hispanic,4,90.0,59.0
4,Burglary/Trespass,Unknown,1,46.0,46.0
4,Burglary/Trespass,White,113,70.15955752212389,60.0
4,Embezzlement,Black,98,63.61642857142857,52.5
4,Embezzlement,Hispanic,190,61.644157894736836,46.0
4,Embezzlement,Unknown,26,42.440769230769234,31.5
4,Embezzlement,White,323,51.884767801857585,37.0
4,Environmental,Black,1,48.0,48.0
4,Environmental,White,3,16.01,18.0
4,Extortion/Racketeering,Black,2,34.535,34.535
4,Extortion/Racketeering,White,6,11.586666666666666,7.745
4,Firearms,Black,38,47.48657894736842,35.0
4,Firearms,Hispanic,38,73.92447368421053,63.5
4,Firearms,Unknown,7,23.43285714285714,18.0
4,Firearms,White,131,79.11465648854963,41.0
4,Immigration,Black,1,51.0,51.0
4,Immigration,Hispanic,2,18.36,18.36
4,Immigration,Unknown,2,3.0,3.0
4,Immigration,White,12,25.798333333333332,19.5
4,Kidnapping,Black,43,30.79348837209302,24.0
4,Kidnapping,Hispanic,38,15.628947368421052,10.0
4,Kidnapping,Unknown,5,60.622,36.0
4,Kidnapping,White,130,33.75869230769231,24.0
4,Larceny,White,4,18.2575,15.5
4,Manslaughter,Black,2,20.1,20.1
4,Manslaughter,White,12,19.485,19.5
4,Money Laundering,White,2,26.0,26.0
4,Murder,Hispanic,1,18.0,18.0
4,Murder,White,10,22.106,19.5
4,Obscenity/Other Sex,Black,1,32.0,32.0
4,Obscenity/Other Sex,Hispanic,1,54.0,54.0
4,Obscenity/Other Sex,Unknown,1,42.0,42.0
4,Obscenity/Other Sex,White,12,41.916666666666664,36.0
4,Other,White,15,116.26666666666667,78.0
4,Robbery,Black,11,136.27272727272728,140.0
4,Robbery,Hispanic,2,130.5,130.5
4,Robbery,White,17,78.82352941176471,60.0
4,Tax,Black,6,17.708333333333332,11.18
4,Tax,Hispanic,168,9.203452380952381,4.625
4,Tax,Unknown,2,16.31,16.31
4,Tax,White,12,20.0075,5.425000000000001
4,Unknown,Black,67,35.07149253731343,18.0
4,Unknown,Hispanic,194,47.41860824742268,24.015
4,Unknown,Unknown,16,29.57,15.5
4,Unknown,White,362,70.33129834254143,36.5
5,Admin of Justice,Hispanic,5,261.0,235.0
5,Arson,Black,1,100.0,100.0
5,Arson,Hispanic,9,180.88888888888889,168.0
5,Assault,Black,4,68.25,69.0
5,Assault,Hispanic,31,145.58064516129033,120.0
5,Assault,White,6,193.33333333333334,127.5
5,Bribery/Corruption,Black,1,18.0,18.0
5,Bribery/Corruption,Hispanic,17,32.105294117647055,12.03
5,Bribery/Corruption,Unknown,6,14.393333333333333,18.0
5,Bribery/Corruption,White,2,9.015,9.015
5,Burglary/Trespass,Black,1,33.0,33.0
5,Burglary/Trespass,Hispanic,43,98.07744186046511,71.0
5,Drug Trafficking,Hispanic,4,66.25,64.0
