season,date,visitor,home,visitor_score,home_score
2020,20200905,ARI,SF,3,4
2020,20200905,HOU,LAA,9,10
2020,20200905,HOU,LAA,6,7
2020,20200905,NYY,BAL,1,6
2020,20200905,TOR,BOS,8,9
2020,20200905,MIL,CLE,3,4
2020,20200905,CWS,KC,5,3
2020,20200905,DET,MIN,3,4
2020,20200905,SD,OAK,4,8
2020,20200905,TEX,SEA,3,5
2020,20200905,MIA,TB,7,3
2020,20200906,WSH,ATL,3,10
2020,20200906,STL,CHC,7,3
2020,20200906,COL,LAD,7,6
2020,20200906,PHI,NYM,1,14
2020,20200906,CIN,PIT,2,3
2020,20200906,ARI,SF,2,4
2020,20200906,HOU,LAA,5,9
2020,20200906,NYY,BAL,1,5
2020,20200906,TOR,BOS,10,8
2020,20200906,MIL,CLE,1,4
2020,20200906,CWS,KC,8,2
2020,20200906,DET,MIN,10,8
2020,20200906,SD,OAK,5,3
2020,20200906,TEX,SEA,3,4
2020,20200906,MIA,TB,4,5
2020,20200907,MIA,ATL,5,4
2020,20200907,STL,CHC,1,5
2020,20200907,PHI,NYM,9,8
2020,20200907,COL,SD,0,1
2020,20200907,ARI,SF,2,4
2020,20200907,TB,WSH,1,6
2020,20200907,KC,CLE,2,5
2020,20200907,DET,MIN,2,6
2020,20200907,HOU,OAK,0,6
2020,20200907,TEX,SEA,4,8
2020,20200907,NYY,TOR,7,12
2020,20200908,LAD,ARI,10,9
2020,20200908,MIA,ATL,8,0
2020,20200908,CIN,CHC,0,3
2020,20200908,BAL,NYM,11,2
2020,20200908,BOS,PHI,5,6
2020,20200908,BOS,PHI,5,2
2020,20200908,CWS,PIT,4,5
2020,20200908,COL,SD,5,14
2020,20200908,SEA,SF,5,6
2020,20200908,MIN,STL,7,3
2020,20200908,MIN,STL,4,6
2020,20200908,TB,WSH,3,5
2020,20200908,KC,CLE,8,6
2020,20200908,MIL,DET,3,8
2020,20200908,HOU,OAK,2,4
2020,20200908,HOU,OAK,5,4
2020,20200908,LAA,TEX,1,7
2020,20200908,NYY,TOR,1,2
2020,20200909,LAD,ARI,6,4
2020,20200909,MIA,ATL,9,29
2020,20200909,CIN,CHC,3,0
2020,20200909,BAL,NYM,6,7
2020,20200909,CWS,PIT,8,1
2020,20200909,COL,SD,3,5
2020,20200909,SEA,SF,1,10
2020,20200909,KC,CLE,3,0
2020,20200909,MIL,DET,19,0
2020,20200909,HOU,OAK,2,3
2020,20200909,LAA,TEX,3,7
2020,20200909,NYY,TOR,7,2
2020,20200910,LAD,ARI,2,5
2020,20200910,CIN,CHC,5,8
2020,20200910,PHI,MIA,6,7
2020,20200910,SF,SD,1,6
2020,20200910,DET,STL,2,12
2020,20200910,DET,STL,6,3
2020,20200910,ATL,WSH,7,6
2020,20200910,KC,CLE,11,1
2020,20200910,HOU,OAK,1,3
2020,20200910,BOS,TB,4,3
2020,20200910,LAA,TEX,6,2
2020,20200911,SEA,ARI,3,4
2020,20200911,LAA,COL,4,8
2020,20200911,PHI,MIA,11,0
2020,20200911,PHI,MIA,3,5
2020,20200911,CHC,MIL,0,1
2020,20200911,CIN,STL,3,1
2020,20200911,ATL,WSH,7,8
2020,20200911,DET,CWS,3,4
2020,20200911,PIT,KC,3,4
2020,20200911,CLE,MIN,1,3
2020,20200911,BAL,NYY,0,6
2020,20200911,BAL,NYY,1,10
2020,20200911,BOS,TB,1,11
2020,20200911,OAK,TEX,10,6
2020,20200911,NYM,TOR,18,1
2020,20200912,SEA,ARI,7,3
2020,20200912,LAA,COL,5,2
2020,20200912,HOU,LAD,7,5
2020,20200912,PHI,MIA,12,6
2020,20200912,CHC,MIL,4,2
2020,20200912,CIN,STL,1,7
2020,20200912,ATL,WSH,2,1
2020,20200912,DET,CWS,0,14
2020,20200912,PIT,KC,4,7
2020,20200912,CLE,MIN,4,8
2020,20200912,BAL,NYY,1,2
2020,20200912,BOS,TB,4,5
2020,20200912,OAK,TEX,2,5
2020,20200912,OAK,TEX,10,1
2020,20200912,NYM,TOR,2,3
2020,20200913,SEA,ARI,7,3
2020,20200913,LAA,COL,5,3
2020,20200913,HOU,LAD,1,8
2020,20200913,PHI,MIA,1,2
2020,20200913,PHI,MIA,1,8
2020,20200913,CHC,MIL,12,0
2020,20200913,SF,SD,0,6
2020,20200913,SF,SD,1,3
2020,20200913,CIN,STL,10,5
2020,20200913,ATL,WSH,8,4
2020,20200913,DET,CWS,2,5
2020,20200913,PIT,KC,0,11
2020,20200913,CLE,MIN,5,7
2020,20200913,BAL,NYY,1,3
2020,20200913,BOS,TB,6,3
2020,20200913,OAK,TEX,3,6
2020,20200913,NYM,TOR,3,7
2020,20200914,PIT,CIN,1,3
2020,20200914,PIT,CIN,4,9
2020,20200914,PHI,MIA,2,6
2020,20200914,STL,MIL,1,2
2020,20200914,STL,MIL,3,2
2020,20200914,LAD,SD,2,7
2020,20200914,ATL,BAL,1,14
2020,20200914,MIN,CWS,1,3
2020,20200914,OAK,SEA,5,6
2020,20200914,OAK,SEA,9,0
2020,20200915,CLE,CHC,5,6
2020,20200915,PIT,CIN,1,4
2020,20200915,OAK,COL,1,3
2020,20200915,BOS,MIA,2,0
2020,20200915,STL,MIL,3,18
2020,20200915,NYM,PHI,1,4
2020,20200915,LAD,SD,3,1
2020,20200915,ARI,LAA,9,8
2020,20200915,ATL,BAL,5,1
2020,20200915,MIN,CWS,2,6
2020,20200915,KC,DET,0,6
2020,20200915,TEX,HOU,1,4
2020,20200915,TOR,NYY,6,20
2020,20200915,WSH,TB,1,6
2020,20200916,CLE,CHC,2,3
2020,20200916,PIT,CIN,0,1
2020,20200916,OAK,COL,3,1
2020,20200916,BOS,MIA,4,8
2020,20200916,STL,MIL,4,2
2020,20200916,STL,MIL,0,6
2020,20200916,NYM,PHI,5,4
2020,20200916,LAD,SD,7,5
2020,20200916,SEA,SF,3,9
2020,20200916,ARI,LAA,9,6
2020,20200916,ATL,BAL,1,5
2020,20200916,MIN,CWS,5,1
2020,20200916,KC,DET,4,0
2020,20200916,TEX,HOU,1,0
2020,20200916,TOR,NYY,2,13
2020,20200916,WSH,TB,4,2
2020,20200917,LAD,COL,9,3
2020,20200917,BOS,MIA,5,3
2020,20200917,NYM,PHI,10,6
2020,20200917,STL,PIT,1,5
2020,20200917,SEA,SF,4,6
2020,20200917,ARI,LAA,3,7
2020,20200917,TB,BAL,3,1
2020,20200917,TB,BAL,10,6
2020,20200917,MIN,CWS,3,4
2020,20200917,CLE,DET,10,3
2020,20200917,TEX,HOU,1,2
2020,20200917,TOR,NYY,7,10
2020,20200918,MIN,CHC,0,1
